Path,DocumentType,ActiveContract,InboundLinks,UniqueCurrentContent,HistoricalOnly,ContradictsCurrentCode,Decision,ReplacementOrConsolidationTarget,Risk,Evidence
README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
analysis/test_inventory/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/README.md,index,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/architecture/decisions/ADR-001-gui-adapter-boundary.md,active architecture/ADR,1,1,1,0,0,retain,,low,tracked Markdown; 1 inbound Markdown references; decision reviewed against current code/tests
docs/architecture/decisions/ADR-002-execution-profile-semantics.md,active architecture/ADR,1,1,1,0,0,retain,,low,tracked Markdown; 1 inbound Markdown references; decision reviewed against current code/tests
docs/architecture/decisions/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/architecture/execution_profiles_surface_integration.md,active usage guide,0,5,1,0,0,retain,,low,tracked Markdown; 5 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/branch_policy.md,active contract,1,6,1,0,0,retain,,low,tracked Markdown; 6 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/examples_inventory.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/fitting_workflow.md,active validation procedure,1,13,1,0,0,retain,,low,tracked Markdown; 13 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/naming_and_paths_convention.md,active usage guide,0,4,1,0,0,retain,,low,tracked Markdown; 4 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/public_api.md,active contract,1,14,1,0,0,retain,,low,tracked Markdown; 14 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/solver_optimization_status.md,active usage guide,0,6,1,0,0,retain,,low,tracked Markdown; 6 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/solver_pending_work.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/active/sweep_workflow.md,active validation procedure,1,4,1,0,0,retain,,low,tracked Markdown; 4 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/README.md,index,1,15,1,0,0,retain,,low,tracked Markdown; 15 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/atlasA0_truncation_cause_diagnostic.md,active usage guide,0,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/atlasA0_truncation_validation.md,active validation procedure,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/atlas_vs_raw_branch1_diagnostic.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/branch_families_diagnostic.md,active usage guide,0,3,1,0,0,retain,,low,tracked Markdown; 3 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/branch_identity_score_diagnostic.md,active usage guide,0,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
docs/models/acoustoelastic_iop_hgo/diagnostics/branch_identity_score_grid_validation.md,active validation procedure,1,2,1,0,0,retain,,low,tracked Markdown; 2 inbound Markdown references; decision reviewed against current code/tests
