File,Line,Token,LineText,Model,Surface,Origin,RiskOfChange,InitialRecommendation
analysis\acoustoelastic_iop_hgo\aeBuildFitProblem.m,40,Fast,"solverOptions = getConfigValue(fitConfig, 'solverOptions', aeDefaultSweepOptions(""Fast""));",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultIdentityA0ValidationOptions.m,11,atlasNumYPoints,"options.atlasNumYPoints = 1000;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultIdentityA0ValidationOptions.m,12,atlasTopNMinima,"options.atlasTopNMinima = 18;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,18,Fast,"case ""Fast""",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,5,Balanced,"robustness = ""Balanced"";",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,21,Robust,"case ""Robust""",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,1,robustness,"function options = aeDefaultSweepOptions(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,4,robustness,"if nargin < 1 || isempty(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,5,robustness,"robustness = ""Balanced"";",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,13,robustness,"[options.atlasNumYPoints, options.atlasTopNMinima] = localAtlasPreset(robustness);",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,16,robustness,"function [atlasNumYPoints, atlasTopNMinima] = localAtlasPreset(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,17,robustness,"switch string(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,13,atlasNumYPoints,"[options.atlasNumYPoints, options.atlasTopNMinima] = localAtlasPreset(robustness);",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,16,atlasNumYPoints,"function [atlasNumYPoints, atlasTopNMinima] = localAtlasPreset(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,19,atlasNumYPoints,"atlasNumYPoints = 300;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,22,atlasNumYPoints,"atlasNumYPoints = 900;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,25,atlasNumYPoints,"atlasNumYPoints = 600;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,13,atlasTopNMinima,"[options.atlasNumYPoints, options.atlasTopNMinima] = localAtlasPreset(robustness);",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,16,atlasTopNMinima,"function [atlasNumYPoints, atlasTopNMinima] = localAtlasPreset(robustness)",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,20,atlasTopNMinima,"atlasTopNMinima = 12;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,23,atlasTopNMinima,"atlasTopNMinima = 20;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeDefaultSweepOptions.m,26,atlasTopNMinima,"atlasTopNMinima = 16;",AE,Fit,Default,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeEvaluateFitModel.m,16,Fast,"options = aeDefaultSweepOptions(""Fast"");",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,58,MaxIter,"options = optimset('Display', 'off', 'MaxIter', 25, 'MaxFunEvals', 55, 'TolX', 1e-4);",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,67,MaxIter,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 120, 'TolX', 1e-4, 'TolFun', 1e-6);",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,58,MaxFunEvals,"options = optimset('Display', 'off', 'MaxIter', 25, 'MaxFunEvals', 55, 'TolX', 1e-4);",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,67,MaxFunEvals,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 120, 'TolX', 1e-4, 'TolFun', 1e-6);",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,58,TolX,"options = optimset('Display', 'off', 'MaxIter', 25, 'MaxFunEvals', 55, 'TolX', 1e-4);",AE,Fit,solver/API,low,preserve as historical context
analysis\acoustoelastic_iop_hgo\aeFitDispersionData.m,67,TolX,"options = optimset('Display', 'off', 'MaxIter', 45, 'MaxFunEvals', 120, 'TolX', 1e-4, 'TolFun', 1e-6);",AE,Fit,solver/API,low,preserve as historical context
